Farmacia,Titular,Dirección,Municipio,Provincia,Comunidad,Teléfono
Farmacia Alvarez Camps Maria Rosa,Alvarez Camps Maria Rosa,"Cl Calderon De La Barca 88, 08032",Barcelona,Barcelona,CATALUÑA,934205989 
Farmacia Alvarez Candau Anna Maria,Alvarez Candau Anna Maria,"Cl Casanova 91, 08011",Barcelona,Barcelona,CATALUÑA,934537930 
Farmacia Alvarez Fernandez Rosa Maria,Alvarez Fernandez Rosa Maria,"Ctra Sant Joan Despi 25, 08940",Cornellà de Llobregat,Barcelona,CATALUÑA,933775391 
Farmacia Alvarez Granja Guadalupe,Alvarez Granja Guadalupe,"Ps De Gracia 26, 08007",Barcelona,Barcelona,CATALUÑA,933021124 
Farmacia Alvarez Pereiro Eduardo,Alvarez Pereiro Eduardo,"Cl Pasteral                  9, 08202",Sabadell,Barcelona,CATALUÑA,937252989 
Farmacia Alvarez Saz S C P,Alvarez Saz S C P,"Cl Gran Via 28, 08600",Berga,Barcelona,CATALUÑA,938210402 
Farmacia Alvarez-pereiro Scp,Alvarez-pereiro Scp,"Cl De Los Reyes Local 5, 08290",Cerdanyola del Vallès,Barcelona,CATALUÑA,936926721 
Farmacia Amado Del Pino Margarita,Amado Del Pino Margarita,"Cl Prat De La Riba          17, 08100",Mollet del Vallès,Barcelona,CATALUÑA,935930161 
Farmacia Amado Ruiz Juan Luis,Amado Ruiz Juan Luis,"Cl Montserrat De Casanovas  12, 08032",Barcelona,Barcelona,CATALUÑA,933573046 
Farmacia Anarte Salvador M Del Prado,Anarte Salvador M Del Prado,"Cl Franca 20 (can Parellada), 08228",Terrassa,Barcelona,CATALUÑA,937311939  - 937851181
Farmacia Andres Carbo Luz,Andres Carbo Luz,"Ps Verdum                    2, 08016",Barcelona,Barcelona,CATALUÑA,933545704 
Farmacia Andres Carbo Nuria,Andres Carbo Nuria,"Cl Doctor Ferran 40, 08940",Cornellà de Llobregat,Barcelona,CATALUÑA,934715130 
Farmacia Andres Perera Ana M,Andres Perera Ana M,"Cl Mallorca                621, 08026",Barcelona,Barcelona,CATALUÑA,933527054 
Farmacia Andreu Lleal Maria Asuncion,Andreu Lleal Maria Asuncion,"Cl Ganduxer 94, 08022",Barcelona,Barcelona,CATALUÑA,934171118 
Farmacia Anfruns EspuÑa Maite,Anfruns EspuÑa Maite,"Cl Furrioles D`abaix         1, 08696",La Pobla de Lillet,Barcelona,CATALUÑA,938236110 
Farmacia Ania Lafuente M Carmen,Ania Lafuente M Carmen,"Cl Trajano                  22, 08004",Barcelona,Barcelona,CATALUÑA,933321915 
Farmacia Antoja Xirau M Dolores,Antoja Xirau M Dolores,"Ctra Del Montseny           25, 08460",Sant Esteve de Palautordera,Barcelona,CATALUÑA,938482646 
Farmacia Anton Gimeno M Teresa,Anton Gimeno M Teresa,"Pza Sant Pere 5, 08003",Barcelona,Barcelona,CATALUÑA,933191238 
Farmacia Aranalde Forto Montserrat,Aranalde Forto Montserrat,"Cl Manresa                  37, 08250",Sant Joan de Vilatorrada,Barcelona,CATALUÑA,938727114 
Farmacia Aranda Guerra Eva,Aranda Guerra Eva,"Cl Escocia                  64, 08016",Barcelona,Barcelona,CATALUÑA,933521409 
Farmacia Arasa-gaspar C.b.,Arasa-gaspar C.b.,"Ntra. Sra. Del Coll         99, 08023",Barcelona,Barcelona,CATALUÑA,932845126 
Farmacia Arderiu Solsona Manuela,Arderiu Solsona Manuela,"Cl Bonavista, 61, 08960",Sant Just Desvern,Barcelona,CATALUÑA,933711288 
Farmacia Argelaguet Argemi Santiago,Argelaguet Argemi Santiago,"Av S. Ant. Maria Claret 21, 08202",Sabadell,Barcelona,CATALUÑA,937450537 
Farmacia Argemi Alsina Scp,Argemi Alsina Scp,"Pz EspaÑa 1, 08207",Sabadell,Barcelona,CATALUÑA,937230878 
Farmacia Argemi Creixell Teresa,Argemi Creixell Teresa,"Cl Juan Batllori             8, 08980",Sant Feliu de Llobregat,Barcelona,CATALUÑA,936668867 
Farmacia Arimany Barcelo Marina,Arimany Barcelo Marina,"Cl Maluquer               8-10, 08401",Granollers,Barcelona,CATALUÑA,938794029 
Farmacia AriÑo Porta Merce,AriÑo Porta Merce,"Cl Ginebra 13, 08003",Barcelona,Barcelona,CATALUÑA,933194895 
Farmacia Arizcun Sagues Maria,Arizcun Sagues Maria,"Cl Ildefons Cerda 54, 08810",Sant Pere de Ribes,Barcelona,CATALUÑA,938964000 
Farmacia Arque Garrofe Roser,Arque Garrofe Roser,"Cl Muntaner 393, 08021",Barcelona,Barcelona,CATALUÑA,932013713 
Farmacia Arrasate PerpiÑa Josefa,Arrasate PerpiÑa Josefa,"Av Virgen De Montserrat     71, 08024",Barcelona,Barcelona,CATALUÑA,932841528 
Farmacia Arribas Gamez Adrian,Arribas Gamez Adrian,"Av Catalunya 124, 08150",Parets del Vallès,Barcelona,CATALUÑA,935737101 
Farmacia Arribas Nicolau Magdalena,Arribas Nicolau Magdalena,"Pla Del Moli 22, 08349",Cabrera de Mar,Barcelona,CATALUÑA,937500105 
Farmacia Arroyo Garcia Gabriel,Arroyo Garcia Gabriel,"Cl Port Alegre              57, 08870",Sitges,Barcelona,CATALUÑA,938943496 
Farmacia Arroyo Sainz Rosa Maria,Arroyo Sainz Rosa Maria,"Pz San Ignacio 13, 08241",Manresa,Barcelona,CATALUÑA,938721389 
Farmacia Artigalas Boixareu Nuria,Artigalas Boixareu Nuria,"Cd Rocafort 60, 08271",Artés,Barcelona,CATALUÑA,938305418 
Farmacia Arumi Bellvehi Josep,Arumi Bellvehi Josep,"Divina Pastora           5, 08500",Vic,Barcelona,CATALUÑA,938862706 
Farmacia Aubets Duran Merce,Aubets Duran Merce,"Cami Fonts De Les Canyes 9, 08227",Terrassa,Barcelona,CATALUÑA,937846984 
Farmacia Audet Ginesta Juan,Audet Ginesta Juan,"Dr.trueta                  234, 08005",Barcelona,Barcelona,CATALUÑA,932252711 
Farmacia Auge I Ribas Rita,Auge I Ribas Rita,"Cl Rogent 118, 08026",Barcelona,Barcelona,CATALUÑA,934362326 
Farmacia Auque RegaÑo Bernat,Auque RegaÑo Bernat,"Cl San Antonio 11, 08440",Cardedeu,Barcelona,CATALUÑA,938461071 
Farmacia Autet Gubieras Assumpta,Autet Gubieras Assumpta,"De La Font               15, 08560",Manlleu,Barcelona,CATALUÑA,938516264 
Farmacia Autonell Reixach Montserrat,Autonell Reixach Montserrat,"Jordi Capell             7, 08552",Taradell,Barcelona,CATALUÑA,938126159 
Farmacia Avecilla Palau Jose Luis,Avecilla Palau Jose Luis,"Cl Mora De Ebro, 43, 08023",Barcelona,Barcelona,CATALUÑA,932138321 
Farmacia Aviles Cortes Montserrat,Aviles Cortes Montserrat,"Av Verge De Montserrat 5, 08231",Ullastrell,Barcelona,CATALUÑA,937809060 
Farmacia Aymerich Bardolet Nuria,Aymerich Bardolet Nuria,"Aribau 310 Bis, 08006",Barcelona,Barcelona,CATALUÑA,932007350 
Farmacia Badia De Badia Juan,Badia De Badia Juan,"Cl Sol                      67, 08840",Viladecans,Barcelona,CATALUÑA,936580895 
Farmacia Badia Del Romero Joan Carles,Badia Del Romero Joan Carles,"Cl Pere Sala                60, 08840",Viladecans,Barcelona,CATALUÑA,936582642 
Farmacia Badia Rubinat M Teresa,Badia Rubinat M Teresa,"Cl Barcelona 26, 08397",Pineda de Mar,Barcelona,CATALUÑA,937672553 
Farmacia Badia Soler Josep,Badia Soler Josep,"Ps De La Industria          23, 08600",Berga,Barcelona,CATALUÑA,938211950 
Farmacia Bagan Tapiolas Montserrat,Bagan Tapiolas Montserrat,"Cl Carmen                   10, 08202",Sabadell,Barcelona,CATALUÑA,937250303 
Farmacia Bainad Caballe Jacinto,Bainad Caballe Jacinto,"Cl Ali Bey                  38, 08013",Barcelona,Barcelona,CATALUÑA,932314256 
Farmacia Bajauli Perez M. Lluisa,Bajauli Perez M. Lluisa,"Cl Wellingtone   52-72 Local 6, 08005",Barcelona,Barcelona,CATALUÑA,932213106 
Farmacia Balague Zalacain Montserrat,Balague Zalacain Montserrat,"Ps Valldaura 184, 08042",Barcelona,Barcelona,CATALUÑA,933596408 
Farmacia Balanya Crespo Pascual,Balanya Crespo Pascual,"Borrell                     43, 08015",Barcelona,Barcelona,CATALUÑA,934410211 
Farmacia Balasch Iborra Montserrat,Balasch Iborra Montserrat,"Agda. Josep Terradellas     56, 08225",Terrassa,Barcelona,CATALUÑA,937895011 
Farmacia Balcells Albareda Rosa,Balcells Albareda Rosa,"Cl Prat De La Riba         225, 08226",Terrassa,Barcelona,CATALUÑA,937362229 
Farmacia Balcells YaÑez C B,Balcells YaÑez C B,"Cl Federico Garcia Lorca, 08170",Montornès del Vallès,Barcelona,CATALUÑA,935680899 
Farmacia Ballart Ruiz Maria Luz,Ballart Ruiz Maria Luz,"Av Anselmo Riu 24, 08924",Santa Coloma de Gramenet,Barcelona,CATALUÑA,933916653 
Farmacia Balsells Valverde Gloria,Balsells Valverde Gloria,"Cl Princesa                 39, 08003",Barcelona,Barcelona,CATALUÑA,933198393 
Farmacia Bansell Bigas Xavier,Bansell Bigas Xavier,"Major                    71-73, 08511",Santa Maria de Corcó,Barcelona,CATALUÑA,938568057 
Farmacia BaÑeres Merinero C B,BaÑeres Merinero C B,"Cl Industria 26, 08830",Sant Boi de Llobregat,Barcelona,CATALUÑA,936613040 
Farmacia BaÑeres Merinero Carolina,BaÑeres Merinero Carolina,"Idumea 14 16, 08035",Barcelona,Barcelona,CATALUÑA,932115082 
Farmacia Baques Roviralta Esther,Baques Roviralta Esther,"Av Matadepera 7, 08207",Sabadell,Barcelona,CATALUÑA,937161065 
Farmacia Baques Roviralta Josep,Baques Roviralta Josep,"Avda 11 Septiembre          73, 08208",Sabadell,Barcelona,CATALUÑA,937252330 
Farmacia Baradad Segura Gemma,Baradad Segura Gemma,"Av Barcelona 55, 08191",Rubí,Barcelona,CATALUÑA,936990953 
Farmacia Barbera Casajuana Montserrat,Barbera Casajuana Montserrat,"Cl Gatassa 10, 08303",Mataró,Barcelona,CATALUÑA,937982915 
Farmacia Barbera Casajuana Saida,Barbera Casajuana Saida,"Ct De Castellar 478, 08227",Terrassa,Barcelona,CATALUÑA,937837989 
Farmacia Barbero Castellvi Montserrat,Barbero Castellvi Montserrat,"Cl Caieta Vinzia            66, 08100",Mollet del Vallès,Barcelona,CATALUÑA,935704216 
Farmacia Barcelo I Giro Judith,Barcelo I Giro Judith,"Cl Vilaseca 39, 08031",Barcelona,Barcelona,CATALUÑA,934200601 
Farmacia Bardina Cortes Jose M,Bardina Cortes Jose M,"Cl Pedro Iv                210, 08005",Barcelona,Barcelona,CATALUÑA,935526250 
Farmacia Bardolet Sellares Josefina,Bardolet Sellares Josefina,"Canigo                   72, 08570",Torelló,Barcelona,CATALUÑA,938591024 
Farmacia Barenys Manent Marta,Barenys Manent Marta,"Cl Sicilia      37   Roc Blanc, 08224",Terrassa,Barcelona,CATALUÑA,937893295 
Farmacia Bargallo Arque M Salome,Bargallo Arque M Salome,"Cl Lluis Puigjaner 103, 08640",Olesa de Montserrat,Barcelona,CATALUÑA,937787543 
Farmacia Bargallo Ferrer Mireia,Bargallo Ferrer Mireia,"Cl Plaza Lesseps            11, 08023",Barcelona,Barcelona,CATALUÑA,932178375 
Farmacia Barja Gonzalez M Isabel,Barja Gonzalez M Isabel,"Cl Raval 26, 08150",Parets del Vallès,Barcelona,CATALUÑA,935737512 
Farmacia Barniol Comellas Gloria,Barniol Comellas Gloria,"Cl Sant Antoni 31, 08330",Premià de Mar,Barcelona,CATALUÑA,937510444 
Farmacia Barnolas Piugbo M Pilar,Barnolas Piugbo M Pilar,"Cl Nou                      7, 08540",Centelles,Barcelona,CATALUÑA,938810985 
Farmacia Barnolas Puigbo Felisa,Barnolas Puigbo Felisa,"Rambla Del Carme         49, 08500",Vic,Barcelona,CATALUÑA,938863509 
Farmacia Barranco Nicolas Esther,Barranco Nicolas Esther,"Cr Cardona                  55, 08262",Callús,Barcelona,CATALUÑA,938360077 
Farmacia Barri Flotats M. Dolores,Barri Flotats M. Dolores,"Aribau                     180, 08036",Barcelona,Barcelona,CATALUÑA,932189586 
Farmacia Bartolome Perez Josep,Bartolome Perez Josep,"Cl Cordova 47, 08924",Santa Coloma de Gramenet,Barcelona,CATALUÑA,933927353 
Farmacia Bas Serra Teresa,Bas Serra Teresa,"Cl Gomis                    82, 08023",Barcelona,Barcelona,CATALUÑA,934170810 
Farmacia Bassons Boncompte M Teresa,Bassons Boncompte M Teresa,"Cl Ruperto Llado Falguera    5, 08980",Sant Feliu de Llobregat,Barcelona,CATALUÑA,936663556 
Farmacia Baste Framis Jaime Antonio,Baste Framis Jaime Antonio,"Cl Rogent 54, 08026",Barcelona,Barcelona,CATALUÑA,932314554 
Farmacia Baste Sabe M Angels***********,Baste Sabe M Angels***********,"Cl San Antoni 74, 08520","Franqueses del Vallès, Les",Barcelona,CATALUÑA,938404866 
Farmacia Baste Sabe M Inmaculada,Baste Sabe M Inmaculada,"Cl El Sui 2, 08445",Cànoves i Samalús,Barcelona,CATALUÑA,938710534 
Farmacia Bastida Vila M. L.sicart Judas,Bastida Vila M. L.sicart Judas,"Pl Raspall 1, 08012",Barcelona,Barcelona,CATALUÑA,932136496 
Farmacia Batllori Calbo Xavier,Batllori Calbo Xavier,"Cl Mila Y Fontanals 1, 08191",Rubí,Barcelona,CATALUÑA,936990388 
Farmacia Bea Torrell S.c.p.,Bea Torrell S.c.p.,"Cl Diagonal                635, 08028",Barcelona,Barcelona,CATALUÑA,933308723 
Farmacia Beatobe Muntada Joaquin,Beatobe Muntada Joaquin,"Cl Anselmo Clave             5, 08184",Palau-solità i Plegamans,Barcelona,CATALUÑA,938648047 
Farmacia Belenguer Llopart Gemma,Belenguer Llopart Gemma,"Cl Pla De Baix 51, 08402",Granollers,Barcelona,CATALUÑA,938705838 
Farmacia Bellart Alfonso Jose Maria,Bellart Alfonso Jose Maria,"Cl Padilla 338-340, 08025",Barcelona,Barcelona,CATALUÑA,934359087 
Farmacia Bellmunt Fernandez Elena,Bellmunt Fernandez Elena,"Cl Aribau                  179, 08036",Barcelona,Barcelona,CATALUÑA,932099390 
Farmacia Bellmunt Fernandez Javier,Bellmunt Fernandez Javier,"Pseo. Bonanova             105, 08017",Barcelona,Barcelona,CATALUÑA,932033097 
Farmacia Belmonte Castan Cristina,Belmonte Castan Cristina,"Rb De Egara 289, 08224",Terrassa,Barcelona,CATALUÑA,937807524 
Farmacia Beltran Costa Nuria,Beltran Costa Nuria,"Av Parc 27, 08940",Cornellà de Llobregat,Barcelona,CATALUÑA,933774344 
Farmacia Beltran Rovira Jordi,Beltran Rovira Jordi,"Rambla Del Raval            14, 08001",Barcelona,Barcelona,CATALUÑA,934415393 
Farmacia Benasco Buscato Ana,Benasco Buscato Ana,"Cl Gran Sant Andreu        125, 08030",Barcelona,Barcelona,CATALUÑA,933468803 
Farmacia Benavent Valles Josep,Benavent Valles Josep,"Av Francesc Macia           18, 08800",Vilanova i la Geltrú,Barcelona,CATALUÑA,938930924 
Farmacia Benavides Helbig Santiago,Benavides Helbig Santiago,"Cl Joaquin Costa, 31, 08001",Barcelona,Barcelona,CATALUÑA,934424945 
Farmacia Benazet Lluis R Cia,Benazet Lluis R Cia,"Cl Dels Capellans           25, 08870",Sitges,Barcelona,CATALUÑA,938941331 
Farmacia Benito Solanes Josep M,Benito Solanes Josep M,"Cl Puigcerda 292, 08020",Barcelona,Barcelona,CATALUÑA,933131428 
Farmacia Berasategui Berasategui Toma,Berasategui Berasategui Toma,"Cl Montmany                  7, 08012",Barcelona,Barcelona,CATALUÑA,932137774 
Farmacia Berenguer - Florensa Scp,Berenguer - Florensa Scp,"Cl Anselmo Clave           114, 08640",Olesa de Montserrat,Barcelona,CATALUÑA,937780186 
Farmacia Berga Marti Carlos,Berga Marti Carlos,"Cl Jaume Abril              23, 08840",Viladecans,Barcelona,CATALUÑA,936582598 
Farmacia Berga Villanueva M Encarnacio,Berga Villanueva M Encarnacio,"Cl Segura Bloque             J, 08038",Barcelona,Barcelona,CATALUÑA,933325141 
Farmacia Berge Sahli Isabel,Berge Sahli Isabel,"Cl Ntra Sra Del Port       255, 08038",Barcelona,Barcelona,CATALUÑA,933311341 
Farmacia Bernabeu BalaÑa Inmaculada,Bernabeu BalaÑa Inmaculada,"Cl Tallers 42, 08001",Barcelona,Barcelona,CATALUÑA,933180988 
Farmacia Bernal Boronat Carlota,Bernal Boronat Carlota,"Cl Planeta 39, 08012",Barcelona,Barcelona,CATALUÑA,932187767 
Farmacia Bernal PiÑol Carlota,Bernal PiÑol Carlota,"Cl Masnou 30, 08328",Alella,Barcelona,CATALUÑA,935400383 
