Farmacia,Titular,Dirección,Municipio,Provincia,Comunidad,Teléfono
"Farmacia Pidal Fernandez, Rosalia","Pidal Fernandez, Rosalia","Pere Iv, 209-211, 08018",Barcelona,Barcelona,CATALUÑA,933077408 
Farmacia Piera Serra Gloria,Piera Serra Gloria,"Pz Josep Sapes I Esmendia 4, 08191",Rubí,Barcelona,CATALUÑA,936977163 
Farmacia Pifarre Torra Joan Ramon,Pifarre Torra Joan Ramon,"Cl Vallespir 45, 08014",Barcelona,Barcelona,CATALUÑA,933393456 
Farmacia Pijoan Mas Montserrat,Pijoan Mas Montserrat,"Cl Palau Ausit 1, 08291",Ripollet,Barcelona,CATALUÑA,936917059 
Farmacia Pimentel Godoy M Elena,Pimentel Godoy M Elena,"Rambla Josep Maria Jujol 29, 08970",Sant Joan Despí,Barcelona,CATALUÑA,934777268 
Farmacia Pineda Marfa Inmaculada,Pineda Marfa Inmaculada,"Cl Duquesa De Orleans, 28, 08034",Barcelona,Barcelona,CATALUÑA,932043206 
Farmacia Pinin Lavin Delia,Pinin Lavin Delia,"Cl Amilcar                 151, 08032",Barcelona,Barcelona,CATALUÑA,934568409 
Farmacia PiÑas Masso Loreto,PiÑas Masso Loreto,"Cl Felipe Ii               224, 08027",Barcelona,Barcelona,CATALUÑA,933527957 
Farmacia Pizarro Miaja Rosario,Pizarro Miaja Rosario,"Ctra De Lourdes 21, 08398",Arenys de Munt,Barcelona,CATALUÑA,937939888 
Farmacia Plana Borras Juliana,Plana Borras Juliana,"Pl Cuba                  00004, 08302",Mataró,Barcelona,CATALUÑA,937985550 
Farmacia Planas Pascual Josep M,Planas Pascual Josep M,"Ps Torras I Bages           83, 08030",Barcelona,Barcelona,CATALUÑA,933450634 
Farmacia Planellas Comas Maribel,Planellas Comas Maribel,"Cl Rio Ebro 19, 08820",El Prat de Llobregat,Barcelona,CATALUÑA,933793945 
Farmacia Planes Casals M.carmen,Planes Casals M.carmen,"Cl Matanzas                 46, 08027",Barcelona,Barcelona,CATALUÑA,933527453 
Farmacia Plans Bonastre Josep,Plans Bonastre Josep,"Bruc Del Mig            15-bis, 08294","Bruc, El",Barcelona,CATALUÑA,937710201 
Farmacia Ponjoan Uriach M. Rosa,Ponjoan Uriach M. Rosa,"Cl Loreto                   48, 08029",Barcelona,Barcelona,CATALUÑA,934308014 
Farmacia Pons Casals Patricia,Pons Casals Patricia,"Cl Sant Feliu                1, 08572",Sant Pere de Torelló,Barcelona,CATALUÑA,938584035 
Farmacia Pons Samaranch Isabel,Pons Samaranch Isabel,"Pz Marquillas                4, 08201",Sabadell,Barcelona,CATALUÑA,937256745 
Farmacia Porcher Martin Gilles Jean,Porcher Martin Gilles Jean,"Rd Alfonso X El Sabio   18-20, 08301",Mataró,Barcelona,CATALUÑA,937961491 
Farmacia Porta Serra Montserrat,Porta Serra Montserrat,"Av Generalitat, 08922",Santa Coloma de Gramenet,Barcelona,CATALUÑA,933857677 
Farmacia Portillo Fabro Anna,Portillo Fabro Anna,"Cl Enrique Borras, 08820",El Prat de Llobregat,Barcelona,CATALUÑA,933794044 
Farmacia Portus I Noguera Joan,Portus I Noguera Joan,"Balmes                   1, 08508","Masies de Voltregà, Les",Barcelona,CATALUÑA,938502396 
Farmacia Pou Goula Esther,Pou Goula Esther,"Vilamirosa                 109, 08560",Manlleu,Barcelona,CATALUÑA,938510754 
Farmacia Pou Isalt Angels,Pou Isalt Angels,"Av Francesc Macia 149, 08402",Granollers,Barcelona,CATALUÑA,938795869 
Farmacia Pous Oller Isabel,Pous Oller Isabel,"Cl Cicero 12, 08014",Barcelona,Barcelona,CATALUÑA,934314570 
Farmacia Pradell Buxo Jaume,Pradell Buxo Jaume,"Pere Iii                 55, 08242",Manresa,Barcelona,CATALUÑA,938773080 
Farmacia Pradell Buxo Jordi,Pradell Buxo Jordi,"Cl Mosen Serapi Ferrer      28, 08242",Manresa,Barcelona,CATALUÑA,938770018 
Farmacia Pradell Buxo Ricard********,Pradell Buxo Ricard********,"Cl Vilatorrada 10-12 Bajos 2, 08250",Sant Joan de Vilatorrada,Barcelona,CATALUÑA,938764825 
Farmacia Prat Borrell Mercedes,Prat Borrell Mercedes,"Cl Rossello 47, 08830",Sant Boi de Llobregat,Barcelona,CATALUÑA,936520214 
Farmacia Prat Calvet Carme,Prat Calvet Carme,"Av Virgen De Monserrat 240 242, 08041",Barcelona,Barcelona,CATALUÑA,934557521 
Farmacia Prat Calvet Josep,Prat Calvet Josep,"Pj Llivia                   47, 08041",Barcelona,Barcelona,CATALUÑA,934355093 
Farmacia Prat I Noguera Roser,Prat I Noguera Roser,"Cl Padilla 156, 08013",Barcelona,Barcelona,CATALUÑA,932314704 
Farmacia Prat Molina S.c.p.,Prat Molina S.c.p.,"Ps Mare Deu Del Coll 150, 08023",Barcelona,Barcelona,CATALUÑA,932138210 
Farmacia Prat Monguio M Claustre,Prat Monguio M Claustre,"Cl Sants                   151, 08028",Barcelona,Barcelona,CATALUÑA,933395109 
Farmacia Prat Monguio Salome,Prat Monguio Salome,"Cl Pep Ventura               3, 08912",Badalona,Barcelona,CATALUÑA,933872193 
Farmacia Prats Coll Magdalena,Prats Coll Magdalena,"Cami Vell De Sant Celmi      3, 08460",Santa Maria de Palautordera,Barcelona,CATALUÑA,938484032 
Farmacia Prats Gorrochategui Matilde,Prats Gorrochategui Matilde,"Cl Alcantara 1, 08042",Barcelona,Barcelona,CATALUÑA,933543991 
Farmacia Prats Mora M Merce,Prats Mora M Merce,"Bunyola  10, 08016",Barcelona,Barcelona,CATALUÑA,933530956 
Farmacia Preciado Iglesias Carmen,Preciado Iglesias Carmen,"Cl Provenza 39, 08029",Barcelona,Barcelona,CATALUÑA,934301228 
Farmacia Prendes Alvargonzalez Isabel,Prendes Alvargonzalez Isabel,"Cl Oriol Mestres 1, 08034",Barcelona,Barcelona,CATALUÑA,932030243 
Farmacia Puche Jove Esther,Puche Jove Esther,"Pz Del Mercat 11, 08340",Vilassar de Mar,Barcelona,CATALUÑA,937594111 
Farmacia Puerto Vera Eva,Puerto Vera Eva,"Cl Tossa De Mar 20, 08720",Vilafranca del Penedès,Barcelona,CATALUÑA,938903026 
Farmacia Pueyo Garcia Pilar,Pueyo Garcia Pilar,"Av Jose Anselmo Clave       19, 08940",Cornellà de Llobregat,Barcelona,CATALUÑA,933770297 
Farmacia Pueyo Salvador Jordi,Pueyo Salvador Jordi,"Cl Riera De Premia 16, 08330",Premià de Mar,Barcelona,CATALUÑA,937529042 
Farmacia Puga Gasull Berta,Puga Gasull Berta,"Cl Sant Ramon De Penyafort 3, 08019",Barcelona,Barcelona,CATALUÑA,933580900 
Farmacia Puges Crisol M Carme,Puges Crisol M Carme,"Cl Montflorit 38, 08850",Gavà,Barcelona,CATALUÑA,936623113 
Farmacia Puges Garcia Robert,Puges Garcia Robert,"Ps Camp Del Roure 20, 08227",Terrassa,Barcelona,CATALUÑA,937308323 
Farmacia Puig Ampurdanes Rosa,Puig Ampurdanes Rosa,"Pz Maria Aurelia Campmany    3, 08970",Sant Joan Despí,Barcelona,CATALUÑA,934773295 
Farmacia Puig Camarero Lluis,Puig Camarero Lluis,"Cl Via Alexandra 37, 08206",Sabadell,Barcelona,CATALUÑA,937239936 
Farmacia Puig Domingo Maria,Puig Domingo Maria,"Cl Corcega 80, 08029",Barcelona,Barcelona,CATALUÑA,934396866 
Farmacia Puig Maso Monterrat,Puig Maso Monterrat,"Cl Closens 20, 08392",Sant Andreu de Llavaneres,Barcelona,CATALUÑA,937926199 
"Farmacia Puigcarbo Rafel, Anna","Puigcarbo Rafel, Anna","Cl Irlanda                 104, 08922",Santa Coloma de Gramenet,Barcelona,CATALUÑA,933869884 
Farmacia Puigoriol Mas Isabel,Puigoriol Mas Isabel,"Cl Ripoll 27 - Duran I Bas 18, 08002",Barcelona,Barcelona,CATALUÑA,933014431 
Farmacia Pujadas Coscolla Fernando,Pujadas Coscolla Fernando,"Av Diagonal                 32, 08019",Barcelona,Barcelona,CATALUÑA,933070029 
"Farmacia Pujadas Gil, Maria Clara","Pujadas Gil, Maria Clara","Londres Bloque L T.2, 08914",Badalona,Barcelona,CATALUÑA,933882482 
Farmacia Pujol Bartina Anna,Pujol Bartina Anna,"Pg San Jordi 5, 08110",Montcada i Reixac,Barcelona,CATALUÑA,935725446 
Farmacia Pujol Boter M Teresa,Pujol Boter M Teresa,"Cl Font D En Canyelles 71, 08042",Barcelona,Barcelona,CATALUÑA,933547039 
Farmacia Pujol Cid Juan Luis,Pujol Cid Juan Luis,"Cl Ample                    25, 08002",Barcelona,Barcelona,CATALUÑA,933011643 
Farmacia Pujol Vallve  M Teresa,Pujol Vallve  M Teresa,"Cl Llum                    S/n, 08183",Castellcir,Barcelona,CATALUÑA,938666138 
Farmacia Pulido Navarro Margarita,Pulido Navarro Margarita,"Cl Cinca 92, 08030",Barcelona,Barcelona,CATALUÑA,933454008 
Farmacia Quinteiro Canedo Margarita,Quinteiro Canedo Margarita,"Cl Peris Mencheta           55, 08032",Barcelona,Barcelona,CATALUÑA,934204288 
Farmacia Quirante Serrano Josefina,Quirante Serrano Josefina,"Passeig Olabarria          50, 08173",Sant Cugat del Vallès,Barcelona,CATALUÑA,936753311 
Farmacia Quiros Bernal M Carmen,Quiros Bernal M Carmen,"Pz Sagrada Familia 7, 08013",Barcelona,Barcelona,CATALUÑA,934577651 
Farmacia Rabasa Sanvicencs Gemma,Rabasa Sanvicencs Gemma,"Cl Dr Ignacio Barraquer 8, 08830",Sant Boi de Llobregat,Barcelona,CATALUÑA,936614666 
Farmacia Raga Pedrosa Nuria,Raga Pedrosa Nuria,"Cl SugraÑes                 11, 08028",Barcelona,Barcelona,CATALUÑA,934311640 
Farmacia Ragull Aviles Xavier,Ragull Aviles Xavier,"Cl Prat De La Riba           2, 08222",Terrassa,Barcelona,CATALUÑA,937853644 
Farmacia Ramia Oller Ana M,Ramia Oller Ana M,"Cl San Jaime                 8, 08359",Sant Iscle de Vallalta,Barcelona,CATALUÑA,937938151 
Farmacia Real Herraiz Julia,Real Herraiz Julia,"Cl Conca De Tremp 64, 08032",Barcelona,Barcelona,CATALUÑA,934290846 
Farmacia Recasens I Isart Miquel,Recasens I Isart Miquel,"Cl Sant Cristofol            3, 08784",Piera,Barcelona,CATALUÑA,937788232 
Farmacia Recasens I Relat Judit,Recasens I Relat Judit,"Av Catalunya 65, 08110",Montcada i Reixac,Barcelona,CATALUÑA,935641688 
Farmacia Reche Salmon Cristina,Reche Salmon Cristina,"Cl Guipuzcoa                98, 08020",Barcelona,Barcelona,CATALUÑA,933143259 
Farmacia Reig Lavernia Margarita,Reig Lavernia Margarita,"Pz Ntra Sra Del Coll        14, 08023",Barcelona,Barcelona,CATALUÑA,932190903 
Farmacia Reixach Morera M Asumcion,Reixach Morera M Asumcion,"Cl Major                    44, 08460",Santa Maria de Palautordera,Barcelona,CATALUÑA,938480030 
Farmacia Relat I Vidal Jordi,Relat I Vidal Jordi,"Av Alfonso Xiii 476-480, 08913",Badalona,Barcelona,CATALUÑA,933874299 
Farmacia Relat Roca Carme,Relat Roca Carme,"Cl Rambla                   11, 08130",Santa Perpètua de Mogoda,Barcelona,CATALUÑA,935601062 
Farmacia Relat Roca Josep,Relat Roca Josep,"Cl Major                    89, 08110",Montcada i Reixac,Barcelona,CATALUÑA,935641481 
Farmacia Reverter Agueras M Carlos,Reverter Agueras M Carlos,"Cl Viladomat                90, 08015",Barcelona,Barcelona,CATALUÑA,934233859 
Farmacia Rexach Coll Jordi,Rexach Coll Jordi,"Avda Paisos Catalans        11, 08279",Calders,Barcelona,CATALUÑA,938309238 
Farmacia Riba Ijalba Libya,Riba Ijalba Libya,"Cl Balmes 395, 08022",Barcelona,Barcelona,CATALUÑA,934174257 
Farmacia Riba Mas Ana Maria,Riba Mas Ana Maria,"Cl Cristobal Llargues 20, 08940",Cornellà de Llobregat,Barcelona,CATALUÑA,933763138 
Farmacia Riba Viladrosa Concepcion,Riba Viladrosa Concepcion,"Cl Estanislao Figueras 92, 08222",Terrassa,Barcelona,CATALUÑA,937856088 
Farmacia Ribal Barrera M.eva,Ribal Barrera M.eva,"Cl Circumvalacio            18, 08790",Gelida,Barcelona,CATALUÑA,937790003 
Farmacia Ribas Fernandez Emma,Ribas Fernandez Emma,"Rd General Mitre 199, 08023",Barcelona,Barcelona,CATALUÑA,934172573 
Farmacia Ribera Bonells M Carmen,Ribera Bonells M Carmen,"Cl Levante 20, 08930",Sant Adrià de Besòs,Barcelona,CATALUÑA,934620698 
Farmacia Ribera Hermoso Joan,Ribera Hermoso Joan,"Camp Uab Pl Civica Local P 10, 08193",Cerdanyola del Vallès,Barcelona,CATALUÑA,936918231 
Farmacia Riera Maristany Marti,Riera Maristany Marti,"Cr De Berga                 59, 08670",Navàs,Barcelona,CATALUÑA,938390173 
Farmacia Riera Riviere Fcia Sras,Riera Riviere Fcia Sras,"Cl Dr Murillo                1, 08172",Sant Cugat del Vallès,Barcelona,CATALUÑA,936740430 
Farmacia Riera Serrat Emili,Riera Serrat Emili,"Cl Josep Llimona            22, 08320",El Masnou,Barcelona,CATALUÑA,935550855 
Farmacia Rigau Lloveras Nuria,Rigau Lloveras Nuria,"Cl Binefar                   6, 08020",Barcelona,Barcelona,CATALUÑA,932788080 
Farmacia Rigol Parera Santi,Rigol Parera Santi,"Cl Balmes                   37, 08784",Piera,Barcelona,CATALUÑA,937788603 
Farmacia Ripoll Jimenez Jose F.,Ripoll Jimenez Jose F.,"Cl Ginesta 61 63, 08394",Sant Vicenç de Montalt,Barcelona,CATALUÑA,937925102 
Farmacia Rius Estela Joaquina,Rius Estela Joaquina,"Cl San Gervasio Casolas     10, 08022",Barcelona,Barcelona,CATALUÑA,934174056 
Farmacia Rivas Delgado Jose Luis,Rivas Delgado Jose Luis,"Cl Cuenca                   10, 08110",Montcada i Reixac,Barcelona,CATALUÑA,935640223 
Farmacia Rivera Arnandis Fco Javier,Rivera Arnandis Fco Javier,"Cl Calabria                 61, 08015",Barcelona,Barcelona,CATALUÑA,934233649 
Farmacia Rivera Carreiras Pilar,Rivera Carreiras Pilar,"Cl Sant Ramon              180, 08290",Cerdanyola del Vallès,Barcelona,CATALUÑA,936920676 
Farmacia Rives Isabelle,Rives Isabelle,"Cl Sepulveda               170, 08011",Barcelona,Barcelona,CATALUÑA,934231022 
Farmacia Robert Arcas  Eulalia,Robert Arcas  Eulalia,"Pza Alta Can Clos          S/n, 08038",Barcelona,Barcelona,CATALUÑA,933323248 
Farmacia Robert-estelrich C.b. Sras.,Robert-estelrich C.b. Sras.,"Cl Mineria, 12, 08038",Barcelona,Barcelona,CATALUÑA,933321075 
Farmacia Roca - Mauri S.c.p.,Roca - Mauri S.c.p.,"Cl Major                    31, 08750",Molins de Rei,Barcelona,CATALUÑA,936681481 
Farmacia Roca Albero Maria Pilar,Roca Albero Maria Pilar,"Cl Nou                       1, 08301",Mataró,Barcelona,CATALUÑA,937901957 
Farmacia Roca Serra Manel,Roca Serra Manel,"Travessera De Les Corts 194, 08028",Barcelona,Barcelona,CATALUÑA,933307066 
Farmacia Roca Tugas Domenec S.c.p.,Roca Tugas Domenec S.c.p.,"Cl Casanova                236, 08036",Barcelona,Barcelona,CATALUÑA,934306510 
Farmacia Roca Vers S.c.p.,Roca Vers S.c.p.,"Pl Santa Madrona           8-9, 08004",Barcelona,Barcelona,CATALUÑA,934235625 
Farmacia Rocabeyera Ruiz Margarita,Rocabeyera Ruiz Margarita,"Cl Lluis Companys 1-3, 08840",Viladecans,Barcelona,CATALUÑA,936594665 
Farmacia Rocamora Ramonet Josep M,Rocamora Ramonet Josep M,"Ps De L Esglesia 4, 08630",Abrera,Barcelona,CATALUÑA,937703684 
Farmacia Rodas Loperena Josep,Rodas Loperena Josep,"Avda. Sabadell Local        10, 08915",Badalona,Barcelona,CATALUÑA,933955105 
Farmacia Rodes Sifres Eduardo,Rodes Sifres Eduardo,"Cl Federico Garcia Lorca  1bis, 08930",Sant Adrià de Besòs,Barcelona,CATALUÑA,933812043 
Farmacia Rodriguez Fatou Fermin,Rodriguez Fatou Fermin,"Cl Tarragona                10, 08338",Premià de Dalt,Barcelona,CATALUÑA,937510119 
Farmacia Rodriguez Lobato S C P,Rodriguez Lobato S C P,"Cl Rambla Principal        124, 08800",Vilanova i la Geltrú,Barcelona,CATALUÑA,938930086 
Farmacia Rodriguez Villamur M Lluisa,Rodriguez Villamur M Lluisa,"Cl Diputacion 331, 08009",Barcelona,Barcelona,CATALUÑA,934879529 
Farmacia Rodriguez Villarreal C.b.,Rodriguez Villarreal C.b.,"Cl Balmes                  431, 08022",Barcelona,Barcelona,CATALUÑA,934178235 
Farmacia Rodriguez Yanguela Tania,Rodriguez Yanguela Tania,"Cl Torras                    2, 08211",Castellar del Vallès,Barcelona,CATALUÑA,937145289 
Farmacia Roig Aviles Isabel,Roig Aviles Isabel,"Cl Rosalia De Castro, 52, 08025",Barcelona,Barcelona,CATALUÑA,934369997 
Farmacia Roig Martinez Marta,Roig Martinez Marta,"Cl Anselm Clave 35, 08181",Sentmenat,Barcelona,CATALUÑA,937150384 
Farmacia Rojas Cano Miguel,Rojas Cano Miguel,"Cl Mossen Cinto Verdaguer 20, 08635",Sant Esteve Sesrovires,Barcelona,CATALUÑA,937798935 
"Farmacia Rojo Boixareu,mercedes","Rojo Boixareu,mercedes","Cl Industria                65, 08025",Barcelona,Barcelona,CATALUÑA,934588726 
Farmacia Romagosa OrtuÑo Sras,Romagosa OrtuÑo Sras,"Cl Josep Tarradellas         3, 08029",Barcelona,Barcelona,CATALUÑA,934301926 
Farmacia Romances Pujol Carmen,Romances Pujol Carmen,"Av President Tarradellas 34, 08303",Mataró,Barcelona,CATALUÑA,935361662 
Farmacia Romero Gisbert Carmen,Romero Gisbert Carmen,"Cl Espronceda              191, 08018",Barcelona,Barcelona,CATALUÑA,933081655 
Farmacia Romero Reche Jose,Romero Reche Jose,"Cl San Juan De Malta        43, 08018",Barcelona,Barcelona,CATALUÑA,933075143 
Farmacia Rondon Vazquez Natasha,Rondon Vazquez Natasha,"Cl Antonio Gaudi 4, 08970",Sant Joan Despí,Barcelona,CATALUÑA,934770772 
Farmacia Ros Casanovas M Dolores,Ros Casanovas M Dolores,"Cl San Esteban              71, 08211",Castellar del Vallès,Barcelona,CATALUÑA,937145025 
Farmacia Ros Simats Nuria,Ros Simats Nuria,"Passeig Pere Iii 71, 08240",Manresa,Barcelona,CATALUÑA,938730157 
Farmacia Rosa Martin Paula,Rosa Martin Paula,"Cl Gignas 5, 08002",Barcelona,Barcelona,CATALUÑA,933150059 
Farmacia Rosell Gras Maria,Rosell Gras Maria,"Cl Fernando Poo 31, 08205",Sabadell,Barcelona,CATALUÑA,937276871 
Farmacia Rosell Pellise Gemma,Rosell Pellise Gemma,"Gran Via De Lluis Companys 62, 08330",Premià de Mar,Barcelona,CATALUÑA,937525400 
Farmacia Rosell Rovira Maria Lluisa,Rosell Rovira Maria Lluisa,"Cl Montseny 71, 08560",Manlleu,Barcelona,CATALUÑA,938514859 
Farmacia Rosenfeld Barrenechea Ricardo,Rosenfeld Barrenechea Ricardo,"Cl Xucla 21, 08001",Barcelona,Barcelona,CATALUÑA,933019335 
Farmacia Roset Estivil Antoni,Roset Estivil Antoni,"Bisbe Comelles 63, 08693",Casserres,Barcelona,CATALUÑA,938225867 
Farmacia Rossello Rodon Lluis,Rossello Rodon Lluis,"Cr Sant Boi 76, 08620",Sant Vicenç dels Horts,Barcelona,CATALUÑA,936567250 
Farmacia Rota Gardella Anna,Rota Gardella Anna,"Travesia De Gracia 333, 08025",Barcelona,Barcelona,CATALUÑA,934588549 
Farmacia Rovira Berger Laia,Rovira Berger Laia,"Cl Pau Claris 3, 08760",Martorell,Barcelona,CATALUÑA,937750289 
Farmacia Rovira Laguera Celia,Rovira Laguera Celia,"Paseo Cordelles             67, 08290",Cerdanyola del Vallès,Barcelona,CATALUÑA,935921399 
Farmacia Rovira Xatart M Angels,Rovira Xatart M Angels,"Diagonal                   319, 08009",Barcelona,Barcelona,CATALUÑA,934583412 
Farmacia Rovirosa Olive Salvador,Rovirosa Olive Salvador,"Cl Berenguer Iii            64, 08100",Mollet del Vallès,Barcelona,CATALUÑA,935930095 
Farmacia Royo Bargues Teresita,Royo Bargues Teresita,"Cl Tusset                   21, 08006",Barcelona,Barcelona,CATALUÑA,932094541 
Farmacia Ruano Tibau M Socorro,Ruano Tibau M Socorro,"Cl Sabadell                 41, 08140",Caldes de Montbui,Barcelona,CATALUÑA,938650566 
Farmacia Rubio Ingerto Maria Isabel,Rubio Ingerto Maria Isabel,"Cl Saragossa 7, 08227",Terrassa,Barcelona,CATALUÑA,937850918 
Farmacia Rubio Moreno Margarita,Rubio Moreno Margarita,"Cl Padilla 378, 08025",Barcelona,Barcelona,CATALUÑA,934558245 
Farmacia Rubio MuÑoz Jose Alberto,Rubio MuÑoz Jose Alberto,"Av Marques De Argentera 5, 08003",Barcelona,Barcelona,CATALUÑA,933192006 
Farmacia Rubio Tremps Montserrat,Rubio Tremps Montserrat,"Cl Riera Blanca            119, 08028",Barcelona,Barcelona,CATALUÑA,934225818 
Farmacia Ruiz Carrillo Fite M Rosa ****,Ruiz Carrillo Fite M Rosa ****,"Rd Roca Blanca               1, 08303",Mataró,Barcelona,CATALUÑA,937985969 
Farmacia Ruiz Planas Montserrat,Ruiz Planas Montserrat,"Av Catalunya                66, 08730",Santa Margarida i els Monjos,Barcelona,CATALUÑA,938980002 
Farmacia Ruiz Rodriguez Isabel,Ruiz Rodriguez Isabel,"Cr Sabadell 95, 08191",Rubí,Barcelona,CATALUÑA,936995012 
Farmacia Ruiz Sentis Montserrat,Ruiz Sentis Montserrat,"Cl La Sagrera              110, 08027",Barcelona,Barcelona,CATALUÑA,933522909 
Farmacia S Y F Albasanz,S Y F Albasanz,"Av. Montserrat, 135, 08820",El Prat de Llobregat,Barcelona,CATALUÑA,939791418 
Farmacia Sabata Prat Mireia,Sabata Prat Mireia,"Cl Barcelona 78-80, 08211",Castellar del Vallès,Barcelona,CATALUÑA,937472890 
Farmacia Sabate Faura Jaime,Sabate Faura Jaime,"Cl Doctor Santponc         103, 08030",Barcelona,Barcelona,CATALUÑA,932744244 
Farmacia Sabate Galobardes Magdalena,Sabate Galobardes Magdalena,"Cl Glicines 23, 08950",Esplugues de Llobregat,Barcelona,CATALUÑA,933711017 
Farmacia Sabates - Villegas C.b.,Sabates - Villegas C.b.,"Cl Vallespir                13, 08014",Barcelona,Barcelona,CATALUÑA,933392540 
Farmacia Sabin Urquia Maria Jose,Sabin Urquia Maria Jose,"Cl Fulton                   18, 08031",Barcelona,Barcelona,CATALUÑA,934290375 
Farmacia Sabin Urquia Marta,Sabin Urquia Marta,"Pz Ibissa 14, 08031",Barcelona,Barcelona,CATALUÑA,934204848 
Farmacia Sagales S.c.p.,Sagales S.c.p.,"Pl Espanya                  14, 08520",Barcelona,Barcelona,CATALUÑA,938493592 
Farmacia Sagarra Aguilar Laura,Sagarra Aguilar Laura,"Cl Sant Domenec 20-22, 08012",Barcelona,Barcelona,CATALUÑA,932371594 
Farmacia Sahun Xifre Montserrat,Sahun Xifre Montserrat,"Cl Balmes 338, 08006",Barcelona,Barcelona,CATALUÑA,932122228 
Farmacia Sala Auvi M Angels,Sala Auvi M Angels,"Cl Sant Miquel 10, 08240",Manresa,Barcelona,CATALUÑA,938721767 
Farmacia Sala Esteban Jose M,Sala Esteban Jose M,"Cl Cambras                   3, 08261",Cardona,Barcelona,CATALUÑA,938691165 
Farmacia Sala Soler,Marta Sala Soler ,"Calle Balmes, 173, 08006",Barcelona,Barcelona,CATALUÑA,932503154  - 959383221
Farmacia Salamero Subias Josefina,Salamero Subias Josefina,"Ronda General Mitre 36, 08017",Barcelona,Barcelona,CATALUÑA,932801563 
Farmacia Salayet Pompido Nuria,Salayet Pompido Nuria,"Ct Barcelona Edif. La Sala, 08187",Santa Eulàlia de Ronçana,Barcelona,CATALUÑA,938448980 
Farmacia Salcedo Pujantell Ana,Salcedo Pujantell Ana,"Calle Aristides Maillol, 9, 08028",Barcelona,Barcelona,CATALUÑA,934 408 663 
Farmacia Sales Llavia Joan,Sales Llavia Joan,"Cl Diputacion 391, 08013",Barcelona,Barcelona,CATALUÑA,932454391 
Farmacia Salgado Blanco Juan Jose,Salgado Blanco Juan Jose,"Avda De La Playa           82, 08930",Sant Adrià de Besòs,Barcelona,CATALUÑA,933810280 
Farmacia Salom Coll Jaime,Salom Coll Jaime,"Cl Tudona                    3, 08960",Sant Just Desvern,Barcelona,CATALUÑA,933714387 
Farmacia Salvado Llados M. Angels,Salvado Llados M. Angels,"Ps Sant Joan 2, 08010",Barcelona,Barcelona,CATALUÑA,932314605 
Farmacia Salvador Sole Palmira,Salvador Sole Palmira,"Cl Marina 69, 08005",Barcelona,Barcelona,CATALUÑA,933095057 
Farmacia Samaranch S C P,Samaranch S C P,"Cl Saragossa 42, 08006",Barcelona,Barcelona,CATALUÑA,932376210 
Farmacia Sambola Puig Francesc,Sambola Puig Francesc,"Cl Mallorca 131, 08036",Barcelona,Barcelona,CATALUÑA,934534106 
Farmacia San & Sa Scp,San & Sa Scp,"Cl Cadi 25, 08031",Barcelona,Barcelona,CATALUÑA,934294995 
Farmacia San Martin Cervera Helena,San Martin Cervera Helena,"Cl Besos                    27, 08035",Barcelona,Barcelona,CATALUÑA,933589601 
Farmacia San Martin Pelaez M Monserrat,San Martin Pelaez M Monserrat,"Cl Bruselas 43, 08041",Barcelona,Barcelona,CATALUÑA,933470685 
Farmacia San Segundo Blazquez Sandra,San Segundo Blazquez Sandra,"Cl Frandesc Macia 23, 08830",Sant Boi de Llobregat,Barcelona,CATALUÑA,936400905 
Farmacia San Segundo Blazquez Sergio,San Segundo Blazquez Sergio,"Carrer Major 86 Locales 2-15, 08040",Barcelona,Barcelona,CATALUÑA,933353847 
Farmacia Sanchez Bailon Anna,Sanchez Bailon Anna,"Cl Santa Rosa 36-38, 08290",Cerdanyola del Vallès,Barcelona,CATALUÑA,936923184 
Farmacia Sanchez Calucho Rosa,Sanchez Calucho Rosa,"Cr De La Marina            112, 08820",El Prat de Llobregat,Barcelona,CATALUÑA,933793481 
Farmacia Sanchez DardiÑa Anna,Sanchez DardiÑa Anna,"Cl Bonestar 39, 08940",Cornellà de Llobregat,Barcelona,CATALUÑA,933756551 
Farmacia Sanchez EspaÑa M Victoria,Sanchez EspaÑa M Victoria,"Av Roma 18, 08015",Barcelona,Barcelona,CATALUÑA,932262276 
Farmacia Sanchez Garcia Antonio Jose,Sanchez Garcia Antonio Jose,"Av Maresma 12, 08360",Canet de Mar,Barcelona,CATALUÑA,937954777 
Farmacia Sanchez Garcia Maria Carmen,Sanchez Garcia Maria Carmen,"Cl Deu I Mata 96, 08029",Barcelona,Barcelona,CATALUÑA,933225954 
Farmacia Sanchez Merino Ana Maria,Sanchez Merino Ana Maria,"Cl Lloret De Mar         87-89, 08031",Barcelona,Barcelona,CATALUÑA,934274844 
Farmacia Sanchez Santalo Neus,Sanchez Santalo Neus,"Cl Joaquin Valls         86-88, 08016",Barcelona,Barcelona,CATALUÑA,933545017 
Farmacia Sanchez Turet Alberto,Sanchez Turet Alberto,"Cl Dr Bove                 121, 08032",Barcelona,Barcelona,CATALUÑA,934291132 
Farmacia Sanchez Vives Juan,Sanchez Vives Juan,"Cl Gerona 72, 08009",Barcelona,Barcelona,CATALUÑA,932652369 
Farmacia Sancho Casadesus Conxa,Sancho Casadesus Conxa,"Cl Major                   125, 08470",Sant Celoni,Barcelona,CATALUÑA,938670167 
